tile,field
T01t01/,VLASS2.1.ql.T01t01.J000228-363000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J000230-373000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J000232-383000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J000234-393000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J000724-363000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J000730-373000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J000736-383000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J000743-393000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J001221-363000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J001231-373000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J001241-383000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J001252-393000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J001718-363000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J001731-373000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J001745-383000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J001800-393000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J002214-363000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J002232-373000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J002250-383000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J002309-393000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J002711-363000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J002731-373000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J002741-383000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J002752-393000.10.2048.v1/
T01t01/,VLASS2.1.ql.T01t01.J002949-363000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J003228-363000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J003230-373000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J003232-383000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J003234-393000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J003724-363000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J003730-373000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J003736-383000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J003743-393000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J004221-363000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J004231-373000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J004241-383000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J004252-393000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J004718-363000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J004731-373000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J004745-383000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J004800-393000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J005214-363000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J005232-373000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J005250-383000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J005309-393000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J005711-363000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J005731-373000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J005741-383000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J005752-393000.10.2048.v1/
T01t02/,VLASS2.1.ql.T01t02.J005949-363000.10.2048.v1/
T01t03/,VLASS2.1.ql.T01t03.J010228-363000.10.2048.v1/
T01t03/,VLASS2.1.ql.T01t03.J010230-373000.10.2048.v1/
T01t03/,VLASS2.1.ql.T01t03.J010232-383000.10.2048.v1/
T01t03/,VLASS2.1.ql.T01t03.J010234-393000.10.2048.v1/
T01t03/,VLASS2.1.ql.T01t03.J010724-363000.10.2048.v1/
T01t03/,VLASS2.1.ql.T01t03.J010730-373000.10.2048.v1/
T01t03/,VLASS2.1.ql.T01t03.J010736-383000.10.2048.v1/
T01t03/,VLASS2.1.ql.T01t03.J010743-393000.10.2048.v1/
T01t03/,VLASS2.1.ql.T01t03.J011221-363000.10.2048.v1/
